t,x,y,i
1,39641,344738.187069935,1
2,39669,346909.033274495,1
3,39690,349217.482762354,1
4,39713,346028.03610269,1
5,39732,347370.099339867,1
6,39748,351201.425805461,1
7,39755,348942.616209899,1
8,39778,347465.718304204,1
9,39799,347308.014975747,1
10,39824,347913.73601704,1
11,39824,349465.049870106,1
12,39831,349005.192638623,1
13,39857,350358.865425873,1
14,39865,350547.18568808,1
15,39891,349873.718289384,1
16,39908,350585.746520946,1
17,39914,348831.414728038,1
18,39942,350178.951842415,1
19,39969,350386.662371273,1
20,39974,352320.617783582,1
21,39997,349525.09078806,1
22,40017,348750.589857208,1
23,40021,353375.711176779,1
24,40024,349553.129285365,1
25,40034,351778.883530166,1
26,40048,348809.120701535,1
27,40054,348617.575931091,1
28,40069,350296.231187198,1
29,40070,347801.269712471,1
30,40082,349304.895695079,1
31,40105,350038.709615053,1
32,40132,350791.009787066,1
33,40137,351222.934438776,1
34,40149,351401.821476145,1
35,40175,352426.578333913,1
36,40180,350559.044966229,1
37,40201,352460.907671779,1
38,40225,350570.220099697,1
39,40234,351608.086633019,1
40,40255,351912.924354944,1
41,40263,353827.134466817,1
42,40274,352019.073829651,1
43,40293,355302.145644434,1
44,40311,353149.972034804,1
45,40318,352760.904402274,1
46,40338,353233.873629999,1
47,40355,354127.385390416,1
48,40383,352049.58593974,1
49,40383,354520.969654394,1
50,40393,352485.324757359,1
51,40419,352775.589491528,1
52,40431,355788.513905364,1
53,40443,353281.039403443,1
54,40461,352049.45098599,1
55,40476,352753.515543411,1
56,40487,355042.547485286,1
57,40514,355182.386232149,1
58,40540,354312.574376799,1
59,40547,354842.348760202,1
60,40549,354915.186427469,1
61,40555,357762.170786074,1
62,40555,354910.947756584,1
63,40576,355465.654360654,1
64,40596,354880.332749373,1
65,40599,357145.671825622,1
66,40612,355868.833495105,1
67,40638,354209.035947297,1
68,40657,355415.750384972,1
69,40683,356487.001012982,1
70,40699,354948.87116923,1
71,40719,354621.394761505,1
72,40720,356522.043248828,1
73,40750,356875.561017704,1
74,40761,358165.472110722,1
75,40778,357563.247781369,1
76,40798,359561.207510381,1
77,40823,357295.698283419,1
78,40824,356767.296733713,1
79,40830,358028.362408009,1
80,40839,356894.617792566,1
81,40847,358646.997142632,1
82,40851,355667.182259606,1
83,40881,357070.088162208,1
84,40906,359087.019079563,1
85,40909,357122.769388359,1
86,40922,358004.750972066,1
87,40945,358430.451930678,1
88,40949,358829.125191534,1
89,40970,358987.251117297,1
90,40992,358642.7650457,1
91,41022,356898.870837884,1
92,41029,357569.474694292,1
93,41042,360581.648164274,1
94,41067,360295.209848294,1
95,41070,357621.274073723,1
96,41098,360881.813299471,1
97,41126,358594.069084298,1
98,41155,358846.517677643,1
99,41170,362715.984211974,1
100,41177,359409.458080402,1
101,41184,361233.782425502,1
102,41204,361448.151787758,1
103,41214,361201.33700207,1
104,41238,360206.157532011,1
105,41244,361626.482703119,1
106,41260,362994.543489674,1
107,41262,360138.839779785,1
108,41271,361261.215062832,1
109,41292,360577.428958223,1
110,41312,362404.30093978,1
111,41333,364003.965973972,1
112,41342,361446.034591216,1
113,41371,362047.154634362,1
114,41377,361900.403059227,1
115,41383,360475.124265511,1
116,41409,361230.17291711,1
117,41427,363296.980969294,1
118,41448,361581.430994394,1
119,41474,363591.110228738,1
120,41475,360373.96068584,1
121,41500,362663.200120655,1
122,41521,362079.552608372,1
123,41533,363808.807209016,1
124,41550,362187.298780171,1
125,41550,366596.570470729,1
126,41553,362322.239764252,1
127,41569,362698.718823727,1
128,41598,363856.793755996,1
129,41621,364826.007759841,1
130,41649,362407.674705789,1
131,41676,363130.213269271,1
132,41695,365865.585340626,1
133,41705,365130.706107399,1
134,41717,365246.235157342,1
135,41721,367025.749960313,1
136,41736,365768.924315506,1
137,41749,364181.761018011,1
138,41777,366470.15693162,1
139,41782,365621.525922835,1
140,41811,365022.414667804,1
141,41816,366809.522184045,1
142,41836,365139.080728215,1
143,41848,364681.299956897,1
144,41872,366467.290275072,1
145,41899,366907.372037198,1
146,41906,366916.779593737,1
147,41925,366679.862054631,1
148,41943,367450.786866039,1
149,41959,366318.759948919,1
150,41989,368138.693699063,1
151,41993,367893.000130363,1
152,42014,368751.39052907,1
153,42017,366120.081672983,1
154,42021,368273.111945666,1
155,42030,368722.843253907,1
156,42051,369465.928772173,1
157,42058,368369.923216859,1
158,42063,368139.42293167,1
159,42092,369950.850331148,1
160,42114,369038.65507049,1
161,42143,368305.488485478,1
162,42171,367708.937797966,1
163,42190,369353.104734521,1
164,42204,366988.630121907,1
165,42208,369446.479016314,1
166,42208,368578.073802666,1
167,42225,368701.691182416,1
168,42255,370883.756763212,1
169,42279,371103.336904028,1
170,42290,371889.462249992,1
171,42294,368777.19887158,1
172,42313,369645.637450471,1
173,42313,370308.459491845,1
174,42338,370677.677949258,1
175,42353,370339.575243533,1
176,42356,371222.285462363,1
177,42368,368804.38380473,1
178,42396,372344.556073716,1
179,42415,371943.313133127,1
180,42436,369952.216897303,1
181,42465,370285.601202374,1
182,42489,374952.034735436,1
183,42489,371736.051931491,1
184,42510,370478.853171826,1
185,42532,372559.149160835,1
186,42536,374395.44569518,1
187,42565,371768.112581032,1
188,42571,371926.060603011,1
189,42571,374246.133093835,1
190,42572,371990.894379611,1
191,42580,368911.327219728,1
192,42607,372549.746382971,1
193,42612,371965.293164783,1
194,42638,373314.851581792,1
195,42662,372566.848574633,1
196,42685,374182.032687554,1
197,42694,374537.079750673,1
198,42698,372295.44206306,1
199,42716,374193.953922441,1
200,42723,374093.118924757,1
201,42728,372020.716150563,1
202,42741,375960.003133307,1
203,42771,373795.174864638,1
204,42797,377792.50697567,1
205,42797,371643.594843611,1
